tag_id,tag_name,tag_type,pi_name,ui_display_name,data_type,uom_id,uom_name,uom_description,model_id,model_tag_id,formula_expression
163,Air_compressor_C_Discharge_flow,inferred,NULL,Air compressor C Discharge flow,real,3,MT/ HR,3,1,163,[Air_Compressor_Motor_C_Status]*[Air_compressor_C_Discharge_flow_raw]*[Air_density]/1000
3087,Air_compressor_C_Discharge_flow_KEV,inferred,NULL,Air compressor C Discharge flow,real,3,MT/ HR,3,1,4246,[Air_compressor_C_Discharge_flow]*[Air_Compressor_Motor_C_Status]
4470,air_compressor_c_max_capacity,inferred,NULL,air_compressor_c_max_capacity,real,3,MT/ HR,3,1,5633,"max([Air_compressor_C_Discharge_flow],11.89)"
1688,Air_Compressor_C_Power_Reduction,inferred,NULL,Air Compressor C Power Reduction,real,27,-,28,1,2853,([AIR_COMPRESSOR_C_Vent_flow]*[Air_Compressor_Motor_C_Power])/([Air_compressor_C_Discharge_flow])
207,Air_Compressor_C_Rated_Flow,inferred,NULL,Air Compressor C Rated Flow,real,3,MT/ HR,3,1,207,11.27
1692,Air_Compressor_C_Vent_Cost,inferred,NULL,Air Compressor C Vent Cost,real,27,-,28,1,2857,[Air_Compressor_C_Power_Reduction]*3.6*[Power_Rate]
1627,AIR_COMPRESSOR_C_Vent_flow,inferred,NULL,AIR COMPRESSOR C Vent flow,real,3,MT/ HR,3,1,2792,"max(0,[Air_compressor_C_Discharge_flow]-[AC_C_Flow_To_Header])"
2142,AIR_COMPRESSOR_C_Vent_flow_benifit,inferred,NULL,AIR COMPRESSOR C Vent flow benifit,real,20,$/ HR,21,1,3301,"if((abs(([AIR_COMPRESSOR_C_Vent_flow_actual]-[AIR_COMPRESSOR_C_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_C_Vent_flow_actual]-[AIR_COMPRESSOR_C_Vent_flow_optimum])*[Air_KPI_doller_actual],0)"
164,Air_compressor_D_Discharge_flow,inferred,NULL,Air compressor D Discharge flow,real,3,MT/ HR,3,1,164,[Air_Compressor_Turbine_D_Status]*[Air_compressor_D_Discharge_flow_raw]*[Air_density]/1000
208,Air_Compressor_D_Rated_Flow,inferred,NULL,Air Compressor D Rated Flow,real,3,MT/ HR,3,1,208,11.27
1689,Air_Compressor_D_Steam_Reduction,inferred,NULL,Air Compressor D Steam Reduction,real,27,-,28,1,2854,([AIR_COMPRESSOR_D_Vent_flow]*[Air_Compressor_Turbine_D_Steam])/([Air_compressor_D_Discharge_flow])
1693,Air_Compressor_D_Vent_Cost,inferred,NULL,Air Compressor D Vent Cost,real,27,-,28,1,2858,[Air_Compressor_D_Steam_Reduction]*([HP_Steam_Cost]-[LP_Steam_Cost])
1628,AIR_COMPRESSOR_D_Vent_flow,inferred,NULL,AIR COMPRESSOR D Vent flow,real,3,MT/ HR,3,1,2793,"max(0,[Air_compressor_D_Discharge_flow]-[AC_D_Flow_To_Header])"
2143,AIR_COMPRESSOR_D_Vent_flow_benifit,inferred,NULL,AIR COMPRESSOR D Vent flow benifit,real,20,$/ HR,21,1,3302,"if((abs(([AIR_COMPRESSOR_D_Vent_flow_actual]-[AIR_COMPRESSOR_D_Vent_flow_optimum])*[Air_KPI_doller_actual]))>0.5,([AIR_COMPRESSOR_D_Vent_flow_actual]-[AIR_COMPRESSOR_D_Vent_flow_optimum])*[Air_KPI_doller_actual],0)"
279,Air_Compressor_Drives_Running,inferred,NULL,Air Compressor Drives Running,real,21,Number,22,1,279,[Air_Compressor_Turbine_A_Status]+[Air_Compressor_Motor_B_Status]+[Air_Compressor_Motor_C_Status]+[Air_Compressor_Turbine_D_Status]
4469,air_compressor_max_capacity,inferred,NULL,air_compressor_max_capacity,real,3,MT/ HR,3,1,5632,"max([Air_compressor_A_Discharge_flow],[Air_compressor_B_Discharge_flow],[Air_compressor_D_Discharge_flow],17.309)"
2908,Air_Compressor_Motor,inferred,NULL,Air Compressor Motor,real,30,µS/ cm," microsiemens per centimeter",1,4067,1
265,Air_Compressor_Motor_B_Power,inferred,NULL,Air Compressor Motor B Power,real,19,MW,20,1,265,1.73*[Voltage_LP]*[Air_Compressor_Motor_B_Amperes]*[Air_Compressor_Motor_B_Status]*[power_factor]/1000/1000
1349,Air_Compressor_Motor_B_Power_Benefit,inferred,NULL,Air Compressor Motor B Power Benefit,real,20,$/ HR,21,1,2520,"if((abs(([Air_Compressor_Motor_B_Power_actual]-[Air_Compressor_Motor_B_Power_optimum])*3.6*[Power_Rate_actual]))>0.5,([Air_Compressor_Motor_B_Power_actual]-[Air_Compressor_Motor_B_Power_optimum])*3.6*[Power_Rate_actual],0)"
4453,Air_Compressor_Motor_B_Power_CO2_Emission,inferred,NULL,Air Compressor Motor B CO2 Emission,real,3,MT/ HR,3,1,5616,([Air_Compressor_Motor_B_Power_actual]-[Air_Compressor_Motor_B_Power_optimum])*[Power_Emission_Factor_actual]
1448,Air_Compressor_Motor_B_Power_Imbalance,inferred,NULL,Air Compressor Motor B Power Imbalance,real,5,%,5,1,2619,"if([Air_Compressor_Motor_B_Status]==0,0,(([Air_Compressor_Motor_B_Power]-[Air_Compressor_Motor_B_Power_Regression])/[Air_Compressor_Motor_B_Power_Regression])*100)"
1679,Air_Compressor_Motor_B_Power_param,inferred,NULL,Air Compressor Motor B Power param,real,27,-,28,1,2844,[Air_Compressor_Motor_B_Power]
1444,Air_Compressor_Motor_B_Power_Regression,inferred,NULL,Air Compressor Motor B Power Regression,real,5,%,5,1,2615,(0.0930*([Air_compressor_B_Discharge_flow])/0.9)
248,Air_Compressor_Motor_B_Status,inferred,NULL,Air Compressor Motor B Status,real,21,Number,22,1,248,"if([Air_Compressor_B_Discharge_Pressure]>4,1,0)"
266,Air_Compressor_Motor_C_Power,inferred,NULL,Air Compressor Motor C Power,real,19,MW,20,1,266,1.73*[Voltage_LP]*[Air_Compressor_Motor_C_Amperes]*[Air_Compressor_Motor_C_Status]*[power_factor]/1000/1000
1350,Air_Compressor_Motor_C_Power_Benefit,inferred,NULL,Air Compressor Motor C Power Benefit,real,20,$/ HR,21,1,2521,"if((abs(([Air_Compressor_Motor_C_Power_actual]-[Air_Compressor_Motor_C_Power_optimum])*3.6*[Power_Rate_actual]))>0.5,([Air_Compressor_Motor_C_Power_actual]-[Air_Compressor_Motor_C_Power_optimum])*3.6*[Power_Rate_actual],0)"
