derived_equation_id,model_tag_id,formula_expression,active
216,1527,[BFW_A_Motor_Status]+ [BFW_B_Turb_Status] + [BFW_C_Turb_Status] + [BFW_D_Motor_Status] + [BFW_E_Turb_Status] + [BFW_F_Motor_Status],1
217,1528,[VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status]+[VHP_BFW_A_Motor_Status],1
218,1529,[CW_Turbine_A_Status]+[CW_Turbine_B_Status]+[CW_Motor_C_Status]+[CW_Motor_D_Status]+[CW_Motor_E_Status]+[CW_Motor_F_Status]+[CW_Turbine_G_Status],1
219,1530,[Air_Compressor_Turbine_A_Status]+[Air_Compressor_Turbine_D_Status]+[Air_Compressor_Motor_C_Status]+[Air_Compressor_Motor_B_Status],1
220,1531,[DMW_Turbine_A_Status]+[DMW_Pump_Motor_B_Status]+[DMW_Turbine_C_Status],1
221,1603,[Total_BFW_Consumption]-[VHP_DESPHTR_BFW_FROM_U_O] - [VHP_BFW_FROM_U_O],1
222,1533,[BFW_E_Turb_Steam]+[BFW_B_Turb_Steam]+ [BFW_C_Turb_Steam]+ [VHP_BFW_B_Turb_Steam]+ [VHP_BFW_C_Turb_Steam]+ [CW_Turbine_A_Steam]+ [CW_Turbine_B_Steam]+ [CW_Turbine_G_Steam]+ [Air_Compressor_Turbine_A_Steam]+ [Air_Compressor_Turbine_D_Steam]+ [DMW_Turbine_A_Steam]+ [DMW_Turbine_C_Steam]+ [FD_Fan_BLR_1_Steam]+[FD_Fan_BLR_2_Steam]+ [FD_Fan_BLR_3_Steam]+ [FD_Fan_BLR_4_Steam]+ [FD_Fan_BLR_5_Steam],1
223,1544,[MP_to_LP_Letdown_MPS_Flow_In_PV013A_UO]+[BFW_to_MP_to_LP_Letdown_Flow_In],1
224,1545,[MP_to_LP_Letdown_MPS_Flow_In_PV013B_UO]+[BFW_to_MP_to_LP_Letdown_Flow_In],1
225,1546,[MP_to_LP_Letdown_MPS_Flow_In_PV31_UO]+[BFW_to_MP_to_LP_Letdown_Flow_In],1
