constraint_id,model_id,constraint_category_id,system,expression,active
11,1,2,AC Drives,(CW_Pump_Rated_Flow*(CW_Turbine_A_Status+CW_Turbine_B_Status+CW_Turbine_G_Status+CW_Motor_C_Status+CW_Motor_D_Status+CW_Motor_E_Status+CW_Motor_F_Status)>=Total_CW_Demand),0
12,1,5,Boilers,BLR_1_HPS_Gen >= 50*BLR_1_Status,0
13,1,5,Boilers,BLR_2_HPS_Gen >= 50*BLR_2_Status,0
14,1,5,Boilers,BLR_3_HPS_Gen >= 50*BLR_3_Status,0
15,1,5,Boilers,BLR_4_HPS_Gen >= 50*BLR_4_Status,0
16,1,5,Boilers,BLR_5_HPS_Gen >= 50*BLR_5_Status,0
17,1,5,Boilers,Fuel_BLR_1 >= 0.000001*BLR_1_Status,0
18,1,5,Boilers,Fuel_BLR_2 >= 0.000001*BLR_2_Status,0
19,1,5,Boilers,Fuel_BLR_3 >= 0.000001*BLR_3_Status,0
20,1,5,Boilers,Fuel_BLR_4 >= 0.000001*BLR_4_Status,0
21,1,5,Boilers,Fuel_BLR_5 >= 0.000001*BLR_5_Status,0
22,1,3,HP_to_MP letdwown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]*701==[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]*[HP_Steam_Enthalpy]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO]*109),0
23,1,3,HP_to_MP letdwown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO]*701==[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]*[HP_Steam_Enthalpy]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO]*109),0
24,1,4,HP_to_MP letdwown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007A_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007A_UO]),0
25,1,4,HP_to_MP letdwown,([HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO]==[HP_to_MP_Letdown_HPS_Flow_In_PV0007B_UO]+[BFW_to_HP_to_MP_Letdown_Flow_In_PV0007B_UO]),0
26,1,4,Deaerator,([Total_BFW_Generated]==[Return_Condensate]+[DMW_Makeup]+[Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent]+[Condensate_From_P_7106_to_Deaerator_Header])+1,0
27,1,3,Deaerator,([Total_BFW_Generated]*109==[Return_Condensate]*75+[DMW_Makeup]*40+([Deaerator_A_LPS]-[Deaerator_A_LPS_Vent]+[Deaerator_B_LPS]-[Deaerator_B_LPS_Vent])*684+[Condensate_From_P_7106_to_Deaerator_Header]*75),0
