seu_output_id,case_id,time_stamp,seu_id,actual,target,baseline,gain,enpi,enpi_benefit,gain_benefit,baseline_gjph,actual_gjph,target_gjph
121,1,2026-03-25 10:00:00.000,77,4.93934909569539,4.93934909569539,5.492222,28.1939736445254,0,0,0.137106662966746,280.078045265477,251.884071620952,251.884071620952
122,1,2026-03-25 11:00:00.000,78,5.21322590378757,5.21322590378757,5.350069,8.10062924780851,0,0,0.0393818632743829,316.705238471914,308.604609224106,308.604609224106
123,1,2026-03-25 10:00:00.000,78,5.18510218946807,5.18510218946807,5.350069,9.81890268068156,0,0,0.0477491040290057,318.438640333434,308.619737652753,308.619737652753
124,1,2026-03-25 11:00:00.000,79,5.24694667266485,5.24694667266485,5.363277,7.00172076898338,0,0,0.0340394309595279,322.806346555905,315.804625786922,315.804625786922
125,1,2026-03-25 10:00:00.000,79,5.23600583255206,5.23600583255206,5.363277,7.66213166595543,0,0,0.0372607748441651,322.886442852826,315.22431118687,315.22431118687
126,1,2026-03-25 11:00:00.000,80,4.94096843088293,4.95043542977022,5.291766,20.4890433317655,-0.552939266118074,-0.00268815889619818,0.0996091388002714,309.076323272295,288.587279940529,288.587279940529
127,1,2026-03-25 10:00:00.000,80,4.86623113715859,4.87650370802254,5.291766,25.1883641218353,-0.608056537743721,-0.00295696533721288,0.122490451111234,313.231512843693,288.043148721858,288.043148721858
128,1,2026-03-25 11:00:00.000,81,2.8476690666675,2.84198384892947,2.864056,1.04518589727604,-16.9261262806913,-34.5292976126102,2.13217923044313,182.674261222042,181.629075324766,181.629075324766
129,1,2026-03-25 10:00:00.000,81,2.84176815753299,2.83651066724347,2.864056,1.43511928761194,-17.301078351115,-35.2941998362746,2.92764334672836,184.417222639891,182.982103352279,182.982103352279
130,1,2026-03-25 11:00:00.000,82,2.68540171251246,2.67976098885135,2.81865,9.01219581265968,-18.6780000313206,-38.103120063894,18.3848794578258,190.638290415011,181.626094602351,181.626094602351
131,1,2026-03-25 10:00:00.000,82,2.68495043416594,2.67944513415839,2.81865,9.11188393297613,-18.9625366097384,-38.6835746838662,18.5882432232713,192.096447639621,182.984563706645,182.984563706645
132,1,2026-03-25 11:00:00.000,83,2.73663746805277,2.7334970468731,2.807324,4.69147670515071,-9.3446941112912,-19.0631759870341,9.57061247850744,186.322553773649,181.631077068498,181.631077068498
133,1,2026-03-25 10:00:00.000,83,2.73818807787444,2.73500966358166,2.807324,4.62020149193538,-10.1292154593621,-20.6635995370986,9.42521104354817,187.607283368411,182.987081876475,182.987081876475
134,1,2026-03-25 11:00:00.000,84,2.64528649836714,2.64046515994525,2.79906,10.5587339314603,-15.7303774075544,-32.0899699114111,21.5398172201789,192.195205834333,181.636471902873,181.636471902873
135,1,2026-03-25 10:00:00.000,84,2.64616414933906,2.64150997532113,2.79906,10.5728177128677,-16.104509151501,-32.853198669062,21.5685481342502,193.556273891345,182.983456178477,182.983456178477
136,1,2026-03-25 11:00:00.000,85,2.69356766370352,0,2.846544,10.4944108593472,184.782865276439,376.957045163936,21.4085981530682,195.277276135786,184.782865276439,0
137,1,2026-03-25 10:00:00.000,85,2.69664040088434,0,2.846544,10.3459366282646,186.114748820945,379.674087594728,21.1057107216599,196.46068544921,186.114748820945,0
138,1,2026-03-25 11:00:00.000,86,1.5179565508491,1.5179565508491,1.417897,-14.3145304840839,0,0,-31.9690703660192,202.844502674218,217.159033158302,217.159033158302
139,1,2026-03-25 10:00:00.000,86,1.44626000623948,1.44626000623948,1.417897,-4.22809218706399,0,0,-9.44272512413563,211.366847968919,215.594940155983,215.594940155983
140,1,2026-03-25 11:00:00.000,87,1.01212977565721,1.01212977565721,0.938061,-23.0325251237551,0,0,-46.3911577490204,291.700697877143,314.733223000898,314.733223000898
141,1,2026-03-25 10:00:00.000,87,1.01406510608016,1.01406510608016,0.938061,-23.7028198059401,0,0,-47.9390633151771,292.545916223668,316.248736029608,316.248736029608
142,1,2026-03-25 11:00:00.000,88,0.369174562854661,0,0.365087,-0.0514156185127908,4.64368112816155,61.9188441629061,-0.685575857249552,4.59226550964876,4.64368112816155,0
143,1,2026-03-25 10:00:00.000,88,0.369923262227409,0,0.365087,-0.0609050353365292,4.65859548104704,62.1177121442812,-0.812107741177281,4.59769044571051,4.65859548104704,0
144,1,2026-03-25 11:00:00.000,89,0.414069058597088,0.400870795689561,0.394864,-0.207677899954501,0.794821981253418,10.5981562980331,-2.76917711799332,4.26994408129892,4.47762198125342,3.6828
145,1,2026-03-25 10:00:00.000,89,0.413485889844596,0.393573033707865,0.394864,-0.201786259924967,0.977721146874845,13.0369337724292,-2.69061798983951,4.27873488694988,4.48052114687485,3.5028
146,1,2026-03-25 11:00:00.000,90,0.70208251580596,0.6080715,0.405381,-5.13213999301296,1.6261382847706,21.6829278891311,-68.4319546668348,7.01200341648473,12.1441434094977,10.5180051247271
147,1,2026-03-25 10:00:00.000,90,0.68126849129796,0.6080715,0.405381,-4.88583661431548,1.29628399772234,17.2846508256296,-65.1477454152827,7.1791052331863,12.0649418475018,10.7686578497794
148,1,2026-03-25 11:00:00.000,91,0.0996700504142791,0.0997551974343465,0.133119,1.55377778269772,0,0,20.7180729544915,6.18367234895878,4.62989456626106,4.62989456626106
149,1,2026-03-25 10:00:00.000,91,0.0996840464975685,0.0996883485121412,0.133119,1.55851090596738,0,0,20.7811844201691,6.20510548269146,4.64659457672408,4.64659457672408
150,1,2026-03-25 11:00:00.000,92,0,0,0,0,0,0,0,0,0,0
151,1,2026-03-25 10:00:00.000,92,0,0,0,0,0,0,0,0,0,0
152,1,2026-03-25 11:00:00.000,93,0.564155215248466,0.5731508191763,0.520177,-0.579136714717467,0.650546199016504,0.0670595758142353,-0.0596985463693684,6.85006422269714,7.4292009374146,6.7786547383981
153,1,2026-03-25 10:00:00.000,93,0.568117839321494,0.577540381240113,0.520177,-0.622836009721005,0.550282084340695,0.0566589326142146,-0.0641293338611406,6.75801616354651,7.38085217326751,6.83057008892682
154,1,2026-03-25 11:00:00.000,94,0.191651897884935,0.176526652121291,0.14067,-23.7170111545741,7.03633323540942,12.2595261144223,-41.3225621751878,65.4403248510638,89.157336005638,82.1210027702286
155,1,2026-03-25 10:00:00.000,94,0.19026145955769,0.176732326120957,0.14067,-23.2463517235548,6.34187816189065,11.0971149406465,-40.6768200904821,65.9400696434108,89.1864213669656,82.844543205075
