run_info_id,model_id,last_run_time,last_data_update,model_status,model_version_id
25760,1,2024-01-05 10:00:00.000,2024-01-05 10:00:00.000,off_opt_nf,1
25761,1,2024-01-05 11:00:00.000,2024-01-05 11:00:00.000,off_opt_nf,1
25762,1,2024-01-05 12:00:00.000,2024-01-05 12:00:00.000,off_opt_nf,1
25763,1,2024-01-05 13:00:00.000,2024-01-05 13:00:00.000,on_default,1
25764,1,2024-01-05 14:00:00.000,2024-01-05 14:00:00.000,on_default,1
25765,1,2024-01-05 15:00:00.000,2024-01-05 15:00:00.000,on_default,1
25766,1,2024-01-05 16:00:00.000,2024-01-05 16:00:00.000,on_default,1
25767,1,2024-01-05 17:00:00.000,2024-01-05 17:00:00.000,on_default,1
25768,1,2024-01-05 18:00:00.000,2024-01-05 18:00:00.000,on_default,1
25769,1,2024-01-05 19:00:00.000,2024-01-05 19:00:00.000,off_opt_nf,1
25770,1,2024-01-05 20:00:00.000,2024-01-05 20:00:00.000,on_default,1
25771,1,2024-01-05 21:00:00.000,2024-01-05 21:00:00.000,on_default,1
25772,1,2024-01-05 22:00:00.000,2024-01-05 22:00:00.000,on_default,1
25773,1,2024-01-05 23:00:00.000,2024-01-05 23:00:00.000,on_default,1
25774,1,2024-01-06 00:00:00.000,2024-01-06 00:00:00.000,off_opt_nf,1
25775,1,2024-01-06 01:00:00.000,2024-01-06 01:00:00.000,on_default,1
25776,1,2024-01-06 02:00:00.000,2024-01-06 02:00:00.000,on_default,1
25777,1,2024-01-06 03:00:00.000,2024-01-06 03:00:00.000,on_default,1
25778,1,2024-01-06 04:00:00.000,2024-01-06 04:00:00.000,off_opt_nf,1
25779,1,2024-01-06 05:00:00.000,2024-01-06 05:00:00.000,off_opt_nf,1
25780,1,2024-01-06 06:00:00.000,2024-01-06 06:00:00.000,off_opt_nf,1
25781,1,2024-01-06 07:00:00.000,2024-01-06 07:00:00.000,off_opt_nf,1
25782,1,2024-01-06 08:00:00.000,2024-01-06 08:00:00.000,off_opt_nf,1
25783,1,2024-01-06 09:00:00.000,2024-01-06 09:00:00.000,off_opt_nf,1
25784,1,2024-01-06 10:00:00.000,2024-01-06 10:00:00.000,off_opt_nf,1
25785,1,2024-01-06 11:00:00.000,2024-01-06 11:00:00.000,off_opt_nf,1
25786,1,2024-01-06 12:00:00.000,2024-01-06 12:00:00.000,off_opt_nf,1
25787,1,2024-01-06 13:00:00.000,2024-01-06 13:00:00.000,off_opt_nf,1
25788,1,2024-01-06 14:00:00.000,2024-01-06 14:00:00.000,on_default,1
25789,1,2024-01-06 15:00:00.000,2024-01-06 15:00:00.000,on_default,1
25790,1,2024-01-06 16:00:00.000,2024-01-06 16:00:00.000,on_default,1
25791,1,2024-01-06 17:00:00.000,2024-01-06 17:00:00.000,on_default,1
25792,1,2024-01-06 18:00:00.000,2024-01-06 18:00:00.000,on_default,1
25793,1,2024-01-06 19:00:00.000,2024-01-06 19:00:00.000,on_default,1
25794,1,2024-01-06 20:00:00.000,2024-01-06 20:00:00.000,on_default,1
25795,1,2024-01-06 21:00:00.000,2024-01-06 21:00:00.000,on_default,1
25796,1,2024-01-06 22:00:00.000,2024-01-06 22:00:00.000,on_default,1
25797,1,2024-01-06 23:00:00.000,2024-01-06 23:00:00.000,on_default,1
25798,1,2024-01-07 00:00:00.000,2024-01-07 00:00:00.000,on_default,1
25799,1,2024-01-07 01:00:00.000,2024-01-07 01:00:00.000,on_default,1
25800,1,2024-01-07 02:00:00.000,2024-01-07 02:00:00.000,on_default,1
25801,1,2024-01-07 03:00:00.000,2024-01-07 03:00:00.000,on_default,1
25802,1,2024-01-07 04:00:00.000,2024-01-07 04:00:00.000,on_default,1
25803,1,2024-01-07 05:00:00.000,2024-01-07 05:00:00.000,on_default,1
25804,1,2024-01-07 06:00:00.000,2024-01-07 06:00:00.000,on_default,1
25805,1,2024-01-07 07:00:00.000,2024-01-07 07:00:00.000,on_default,1
25806,1,2024-01-07 08:00:00.000,2024-01-07 08:00:00.000,on_default,1
25807,1,2024-01-07 09:00:00.000,2024-01-07 09:00:00.000,on_default,1
25808,1,2024-01-07 10:00:00.000,2024-01-07 10:00:00.000,on_default,1
25809,1,2024-01-07 11:00:00.000,2024-01-07 11:00:00.000,on_default,1
25810,1,2024-01-07 12:00:00.000,2024-01-07 12:00:00.000,on_default,1
25811,1,2024-01-07 13:00:00.000,2024-01-07 13:00:00.000,on_default,1
25812,1,2024-01-07 14:00:00.000,2024-01-07 14:00:00.000,on_default,1
25813,1,2024-01-07 15:00:00.000,2024-01-07 15:00:00.000,on_default,1
25814,1,2024-01-07 16:00:00.000,2024-01-07 16:00:00.000,on_default,1
25815,1,2024-01-07 17:00:00.000,2024-01-07 17:00:00.000,on_default,1
25816,1,2024-01-07 18:00:00.000,2024-01-07 18:00:00.000,on_default,1
25817,1,2024-01-07 19:00:00.000,2024-01-07 19:00:00.000,on_default,1
25818,1,2024-01-07 20:00:00.000,2024-01-07 20:00:00.000,on_default,1
25819,1,2024-01-07 21:00:00.000,2024-01-07 21:00:00.000,on_default,1
25820,1,2024-01-07 22:00:00.000,2024-01-07 22:00:00.000,on_default,1
25821,1,2024-01-07 23:00:00.000,2024-01-07 23:00:00.000,on_default,1
25822,1,2024-01-08 00:00:00.000,2024-01-08 00:00:00.000,on_default,1
25823,1,2024-01-08 01:00:00.000,2024-01-08 01:00:00.000,on_default,1
25824,1,2024-01-08 02:00:00.000,2024-01-08 02:00:00.000,on_default,1
25825,1,2024-01-08 03:00:00.000,2024-01-08 03:00:00.000,on_default,1
25826,1,2024-01-08 04:00:00.000,2024-01-08 04:00:00.000,on_default,1
25827,1,2024-01-08 05:00:00.000,2024-01-08 05:00:00.000,on_default,1
25828,1,2024-01-08 06:00:00.000,2024-01-08 06:00:00.000,on_default,1
25829,1,2024-01-08 07:00:00.000,2024-01-08 07:00:00.000,on_default,1
25830,1,2024-01-08 08:00:00.000,2024-01-08 08:00:00.000,on_default,1
25831,1,2024-01-08 09:00:00.000,2024-01-08 09:00:00.000,on_default,1
25832,1,2024-01-08 10:00:00.000,2024-01-08 10:00:00.000,on_default,1
25833,1,2024-01-08 11:00:00.000,2024-01-08 11:00:00.000,on_default,1
25834,1,2024-01-08 12:00:00.000,2024-01-08 12:00:00.000,on_default,1
