tag_name,category,formula,status,value,missing_inputs
BOILER_A_AIR_REQUIRED_FOR_NC4_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_NC4_MASS_FRACTION*15.487,eval_error:NameError:name 'BOILER_A_FG_NC4_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_NC5_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_NC5_MASS_FRACTION*15.353,eval_error:NameError:name 'BOILER_A_FG_NC5_MASS_FRACTION' is not defined,,
BOILER_A_AIR_REQUIRED_FOR_PROPANE_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_PROPANE_MASS_FRACTION*15.703,eval_error:NameError:name 'BOILER_A_FG_PROPANE_MASS_FRACTION' is not defined,,
BOILER_A_AVG_CP_OF_FLUE_GAS_AT_STACK_TEMP,Boiler -- Flue Gas & Stack,(BOILER_A_CP_FLUE_GAS_CO2_AT_STACK_TEMP*BOILER_A_CO2_FORMED/44.01+BOILER_A_CP_FLUE_GAS_N2_AT_STACK_TEMP*BOILER_A_N2_FORMED/28.01+BOILER_A_EXCESS_AIR/28.85*BOILER_A_CP_OF_AIR_AT_STACK_TEMP)/(BOILER_A_F,eval_error:NameError:name 'BOILER_A_CP_FLUE_GAS_CO2_AT_STACK_TEMP' is not defined,,
BOILER_A_AVG_CP_OF_FUEL_GAS_SENSIBLE_HEAT_CORRECTED,Boiler -- Performance & Energy,((BOILER_A_CP_TOTAL_FUEL_AT_REF_TEMP+BOILER_A_CP_TOTAL_FUEL_AT_FUEL_TEMP)/BOILER_A_FG_MW)/2,eval_error:NameError:name 'BOILER_A_CP_TOTAL_FUEL_AT_REF_TEMP' is not defined,,
BOILER_A_BFW_ENERGY,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_CORRECTED_BFW_FLOW*BOILER_A_BFW_ENTHALPY/1000)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_BFW_ENTHALPY,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,ECONOMIZER_A_INLET_TEMPERATURE)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_BLOWDOWN_LOSS,Boiler -- Blowdown,"if(BOILER_A_STATUS==0,0,((BOILER_A_CBD_BD/1000)*((STEAM_DRUM_A_PRESSURE*2.11087739028321+SUPERHEATER_INLET_TEMPERATURE*2.94757709065418+278.050085762461)*0.2390006-(BFW_PRESSURE_TO_BOILER*0.0678913878",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_BOILER_INDIRECT_EFFICIENCY,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_TOTAL_HEAT_ABSORBED_PER_KG_OF_FUEL/BOILER_A_TOTAL_HEAT_INPUT_PER_KG_OF_FUEL*100)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_BOILER_LOAD,Boiler -- Performance & Energy,DESUPERHEATER_OUTLET_STEAM_FLOW/150000*100,eval_error:NameError:name 'DESUPERHEATER_OUTLET_STEAM_FLOW' is not defined,,
BOILER_A_CALCULATED_AIRFLOW_NM3H,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_AIR_FUEL_MASS_RATIO*BOILER_A_CORRECTED_FUEL_FLOW/(28.96/22.414)/1000)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CH4_CO2_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_CH4_MASS_FRACTION*2.744,eval_error:NameError:name 'BOILER_A_FG_CH4_MASS_FRACTION' is not defined,,
BOILER_A_CH4_H2O_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_CH4_MASS_FRACTION*2.246,eval_error:NameError:name 'BOILER_A_FG_CH4_MASS_FRACTION' is not defined,,
BOILER_A_CH4_N2_COMBUSTION,Boiler -- Combustion & Fuel,BOILER_A_FG_CH4_MASS_FRACTION*13.275,eval_error:NameError:name 'BOILER_A_FG_CH4_MASS_FRACTION' is not defined,,
BOILER_A_CO2_EMISSIONS,Boiler -- Emissions,"if(BOILER_A_STATUS==0,0,BOILER_A_CO2_FORMED*BOILER_A_FUEL_GAS_CORRECTED_TPH)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CO2_FORMED,Boiler -- Performance & Energy,BOILER_A_CH4_CO2_COMBUSTION+BOILER_A_ETHANE_CO2_COMBUSTION+BOILER_A_ETHYLENE_CO2_COMBUSTION+BOILER_A_PROPANE_CO2_COMBUSTION+BOILER_A_NC4_CO2_COMBUSTION+BOILER_A_IC4_CO2_COMBUSTION+BOILER_A_NC5_CO2_COM,eval_error:NameError:name 'BOILER_A_CH4_CO2_COMBUSTION' is not defined,,
BOILER_A_CONVECTION_DUTY,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_ECONOMIZER_DUTY+BOILER_A_SH_DUTY+BOILER_A_STACK_LOSS_CORRECTED)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CONVECTION_SECTION_EFFICIENCY,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_CONVECTION_DUTY/BOILER_A_CORRECTED_FUEL_GAS_ENERGY_INPUT*100)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CORRECTED_BFW_FLOW,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,(BFW_FLOW_TO_ECOMONIZER_A+BFW_FLOW_TO_DESUPERHEATER_A-(BFW_FLOW_TO_ECOMONIZER_A+BFW_FLOW_TO_DESUPERHEATER_A-DESUPERHEATER_OUTLET_STEAM_FLOW-BOILER_A_CBD_BD))/1000)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CORRECTED_COMBUSTION_AIR,Boiler -- Combustion & Fuel,BOILER_A_AIR_REQUIRED_FOR_COMPLETE_COMBUSTION/(1-BOILER_A_AIR_MOISTURE),eval_error:NameError:name 'BOILER_A_AIR_REQUIRED_FOR_COMPLETE_COMBUSTION' is not ,,
BOILER_A_CORRECTED_COMBUTION_H2O_FORMED,Boiler -- Performance & Energy,BOILER_A_H2O_FORMED+(BOILER_A_CORRECTED_COMBUSTION_AIR-BOILER_A_AIR_REQUIRED_FOR_COMPLETE_COMBUSTION),eval_error:NameError:name 'BOILER_A_H2O_FORMED' is not defined,,
BOILER_A_CORRECTED_FUEL_FLOW,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_FUEL_GAS_FLOW-((BOILER_A_FUEL_GAS_ENERGY_INPUT-(BOILER_A_TOTAL_STEAM_ENERGY-BOILER_A_BFW_ENERGY+BOILER_A_BLOWDOWN_LOSS+BOILER_A_STACK_LOSS+BOILER_A_FUEL_GAS_ENERGY_INP",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CORRECTED_FUEL_GAS_ENERGY_INPUT,Boiler -- Performance & Energy,"if(BOILER_A_STATUS==0,0,BOILER_A_CORRECTED_FUEL_FLOW*BOILER_A_MIXED_LHV_PER_KG/10^6)",eval_error:NameError:name 'BOILER_A_STATUS' is not defined,,
BOILER_A_CP_AT_COMBUSTION_TEMPERATURE,Boiler -- Combustion & Fuel,(((28.98641)+1.85398*((BOILER_A_COMBUSTION_AIR_TEMPERATURE+273.15)/1000)-9.647459*((BOILER_A_COMBUSTION_AIR_TEMPERATURE+273.15)/1000)^2+16.63537*((BOILER_A_COMBUSTION_AIR_TEMPERATURE+273.15)/1000)^3+(,eval_error:NameError:name 'BOILER_A_COMBUSTION_AIR_TEMPERATURE' is not defined,,
BOILER_A_CP_CH4_FUEL_TEMP,Boiler -- Performance & Energy,((-0.703029)+108.4773*((BOILER_A_MAIN_FUEL_GAS_TEMPERATURE+273.15)/1000)-42.52157*((BOILER_A_MAIN_FUEL_GAS_TEMPERATURE+273.15)/1000)^2+5.862788*((BOILER_A_MAIN_FUEL_GAS_TEMPERATURE+273.15)/1000)^3+(0.,eval_error:NameError:name 'BOILER_A_MAIN_FUEL_GAS_TEMPERATURE' is not defined,,
BOILER_A_CP_ETHANE_FUEL_TEMP,Boiler -- Performance & Energy,(6.08160993967773+173.58246031667*((BOILER_A_MAIN_FUEL_GAS_TEMPERATURE+273.15)/1000)-66.9190547406319*((BOILER_A_MAIN_FUEL_GAS_TEMPERATURE+273.15)/1000)^2+9.08912024736972*((BOILER_A_MAIN_FUEL_GAS_TEM,eval_error:NameError:name 'BOILER_A_MAIN_FUEL_GAS_TEMPERATURE' is not defined,,
