=== SHEET: derived_equations ===
Shape: 117 rows x 4 columns

COLUMN HEADERS:
  [0] 'tag_name'
  [1] 'formula_expression'
  [2] 'active'
  [3] 'source_flag'

ALL ROWS:
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[25] tag_name: Air_Compressor_Turbine_A_Steam | formula_expression: [Air_Compressor_Turbine_A_Status]*([act_Air_Compressor_Turbine_A_Status]*[Air_Compressor_Turbine_A_Steam_param]*(1-[Air_Compressor_Turbine_A_Steam_Imbalance])+(1-[act_Air_Compressor_Turbine_A_Status])*((14.691*([Air_compressor_A_Discharge_flow])*89.55 + 5079)/0.9/1000)) + (1-[Air_Compressor_Turbine_A_Status])*[Air_Compressor_Turbine_A_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[26] tag_name: Air_Compressor_Turbine_D_Steam | formula_expression: [Air_Compressor_Turbine_D_Status]*([act_Air_Compressor_Turbine_D_Status]*[Air_Compressor_Turbine_D_Steam_param]*(1-[Air_Compressor_Turbine_D_Steam_Imbalance])+(1-[act_Air_Compressor_Turbine_D_Status])*((13.34*([Air_compressor_D_Discharge_flow])*92.96 + 4614.5)/0.9/1000)) +(1-[Air_Compressor_Turbine_D_Status])*[Air_Compressor_Turbine_D_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[27] tag_name: Air_Compressor_Motor_C_Power | formula_expression: [Air_Compressor_Motor_C_Status]*([act_Air_Compressor_Motor_C_Status]*[Air_Compressor_Motor_C_Power_param]*(1-[Air_Compressor_Motor_C_Power_Imbalance])+(1-[act_Air_Compressor_Motor_C_Status])*((0.0896*([Air_compressor_C_Discharge_flow]))/0.9)) | active: 1 | source_flag: DB_ACTIVE
[28] tag_name: Air_Compressor_Motor_B_Power | formula_expression: [Air_Compressor_Motor_B_Status]*([act_Air_Compressor_Motor_B_Status]*[Air_Compressor_Motor_B_Power_param]*(1-[Air_Compressor_Motor_B_Power_Imbalance])+(1-[act_Air_Compressor_Motor_B_Status])*((0.0930*([Air_compressor_B_Discharge_flow]))/0.9)) | active: 1 | source_flag: DB_ACTIVE
[29] tag_name: DMW_Turbine_A_Steam | formula_expression: [DMW_Turbine_A_Status]*([DMW_Turbine_A_Steam_cons]-[DMW_Turbine_A_Steam_Imbalance])+(1-[DMW_Turbine_A_Status])*[DMW_Turbine_A_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[30] tag_name: DMW_Motor_B_Power | formula_expression: [DMW_Pump_Motor_B_Status]*([DMW_Motor_B_Power_cons]-[DMW_Pump_Motor_B_Power_Imbalance]) | active: 1 | source_flag: DB_ACTIVE
[31] tag_name: DMW_Turbine_C_Steam | formula_expression: [DMW_Turbine_C_Status]*([DMW_Turbine_C_Steam_cons]-[DMW_Turbine_C_Steam_Imbalance])+(1-[DMW_Turbine_C_Status])*[DMW_Turbine_C_Steam_warmup] | active: 1 | source_flag: DB_ACTIVE
[32] tag_name: Total_BLR_HPS_Generation | formula_expression: [BLR_1_HPS_Gen]+[BLR_2_HPS_Gen]+[BLR_3_HPS_Gen]+[BLR_4_HPS_Gen]+[BLR_5_HPS_Gen] | active: 1 | source_flag: DB_ACTIVE
[33] tag_name: Total_Boilers_Running | formula_expression: [BLR_1_Status]+[BLR_2_Status]+[BLR_3_Status]+[BLR_4_Status]+[BLR_5_Status] | active: 1 | source_flag: DB_ACTIVE
[34] tag_name: Total_Fuel_for_Boilers | formula_expression: [Fuel_BLR_1]+[Fuel_BLR_2]+[Fuel_BLR_3]+[Fuel_BLR_4]+[Fuel_BLR_5] | active: 1 | source_flag: DB_ACTIVE
[35] tag_name: Total_Power_for_Drives | formula_expression: [BFW_D_Motor_Power]+[BFW_F_Motor_Power]+[BFW_A_Motor_Power]+[VHP_BFW_A_Motor_Power]+[CW_Motor_C_Power]+[CW_Motor_D_Power]+[CW_Motor_E_Power]+[CW_Motor_F_Power]+[Air_Compressor_Motor_C_Power]+[Air_Compressor_Motor_B_Power]+[DMW_Motor_B_Power]+[FDF_A_Motor_Power]+[FDF_B_Motor_Power] | active: 1 | source_flag: DB_ACTIVE
[36] tag_name: BFW_Drives_Running | formula_expression: [BFW_A_Motor_Status]+ [BFW_B_Turb_Status] + [BFW_C_Turb_Status] + [BFW_D_Motor_Status] + [BFW_E_Turb_Status] + [BFW_F_Motor_Status] | active: 1 | source_flag: DB_ACTIVE
[37] tag_name: VHP_BFW_Drives_Running | formula_expression: [VHP_BFW_B_Turb_Status]+[VHP_BFW_C_Turb_Status]+[VHP_BFW_A_Motor_Status] | active: 1 | source_flag: DB_ACTIVE
[38] tag_name: CW_Drives_Running | formula_expression: [CW_Turbine_A_Status]+[CW_Turbine_B_Status]+[CW_Motor_C_Status]+[CW_Motor_D_Status]+[CW_Motor_E_Status]+[CW_Motor_F_Status]+[CW_Turbine_G_Status] | active: 1 | source_flag: DB_ACTIVE
[39] tag_name: Air_Compressor_Drives_Running | formula_expression: [Air_Compressor_Turbine_A_Status]+[Air_Compressor_Turbine_D_Status]+[Air_Compressor_Motor_C_Status]+[Air_Compressor_Motor_B_Status] | active: 1 | source_flag: DB_ACTIVE
[40] tag_name: DMW_Drives_Running | formula_expression: [DMW_Turbine_A_Status]+[DMW_Pump_Motor_B_Status]+[DMW_Turbine_C_Status] | active: 1 | source_flag: DB_ACTIVE
[41] tag_name: MP_Steam_Generation | formula_expression: [HP_to_MP_Letdown_MPS_Flow_Out_PV0007A_UO]+[HP_to_MP_Letdown_MPS_Flow_Out_PV0007B_UO] | active: 1 | source_flag: DB_ACTIVE
[42] tag_name: LP_Steam_Generation | formula_expression: ([MP_to_LP_Letdown_LPS_Flow_Out_PV013A_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV013B_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV31_UO]+[MP_to_LP_Letdown_LPS_Flow_Out_PV32_UO])+[LPS_from_Drives]+([Total_BLR_HPS_Generation]*0.01*0.21) | active: 1 | source_flag: DB_ACTIVE
[43] tag_name: BFW_Flow_Consumption | formula_expression: [Total_BFW_Consumption] -([VHP_BFW_FROM_U_O]+[VHP_DESPHTR_BFW_FROM_U_O]+([Deaerator_LPS]*0.02)) | active: 1 | source_flag: DB_ACTIVE
