tag_name,role,formula,lower_bound,upper_bound,flag_integer,equipment_category,equipment_id,uom,active_flag
DSP_BFW_TO_ETH_raw,raw_pi_input,,,,,bfw_system,,%,1
EOEG_1_HPS_Demand,parameter,"if([EOEG1_Plant_Status]==0,0,if([EOEG_1_HPS_Demand_raw]<5,0,[EOEG_1_HPS_Demand_raw]))",,,,eoeg_plant,,°C,1
EOEG_1_HPS_Demand_raw,raw_pi_input,,,,,eoeg_plant,,$/ HR,1
EOEG_2_HPS_Demand,parameter,"if([EOEG2_Plant_Status]==0,0,if([EOEG_2_HPS_Demand_raw]<5,0,[EOEG_2_HPS_Demand_raw]))",,,,eoeg_plant,,MT/ HR,1
EOEG_2_HPS_Demand_raw,raw_pi_input,,,,,eoeg_plant,,$/ HR,1
EOEG_3_HPS_Demand,parameter,"if([EOEG3_Plant_Status]==0,0,if([EOEG_3_HPS_Demand_raw]<5,0,[EOEG_3_HPS_Demand_raw]))",,,,eoeg_plant,,MT/ HR,1
EOEG_3_HPS_Demand_raw,raw_pi_input,,,,,eoeg_plant,,$/ HR,1
ETH_HPS_Demand,post_optimizer,"if([ETH_Plant_Status]==0,0,if(([ETH_HPS_Demand]-([ETH_HPS_Demand_delta]))<0,0,([ETH_HPS_Demand]-([ETH_HPS_Demand_delta]))))",,,,system,,-,1
ETH_HPS_Demand_delta,parameter,"if(missing([C2_power_delta] + [Eth_CGC_turbine_Duty_delta]),0,[C2_power_delta] + [Eth_CGC_turbine_Duty_delta])",,,,system,,-,1
FD_Fan_BLR_1_Steam,decision_variable,(1-[FDF_A_Motor_Status])*[BLR_1_Status]*(([FD_Fan_BLR_1_Steam_raw]/1000)-([FD_Fan_BLR_1_Steam_reg]-((0.4255*[BLR_1_HPS_Gen]**2 - 32.667*[BLR_1_HPS_Gen] + 4378.1)/1000)))+(1-[BLR_1_Status])*(1-[FDF_A_Motor_Status])*[FD_Fan_BLR_1_Steam_warmup],0,"if([Whatif_running]==0,max([FD_Fan_BLR_1_Steam],10),10)",0,fd_fan,FD_FAN_BLR_1,MT/ HR,1
FD_Fan_BLR_1_Steam_raw,raw_pi_input,,,,,fd_fan,FD_FAN_BLR_1,%,1
FD_Fan_BLR_1_Steam_reg,parameter,((0.4255*[BLR_1_HPS_Gen]^2 - 32.667*[BLR_1_HPS_Gen] + 4378.1)/1000),,,,fd_fan,FD_FAN_BLR_1,KG/ HR,1
FD_Fan_BLR_1_Steam_warmup,parameter,"if([BLR_1_Status]==0,[FD_Fan_BLR_1_Steam_raw]/1000,0)",,,,fd_fan,FD_FAN_BLR_1,-,1
FD_Fan_BLR_2_Steam,decision_variable,(1-[FDF_B_Motor_Status])*[BLR_2_Status]*(([FD_Fan_BLR_2_Steam_raw]/1000)-([FD_Fan_BLR_2_Steam_reg]-((0.4601*[BLR_2_HPS_Gen]**2 - 39.276*[BLR_2_HPS_Gen] + 4711.7)/1000)))+(1-[BLR_2_Status])*(1-[FDF_B_Motor_Status])*[FD_Fan_BLR_2_Steam_warmup],0,"if([Whatif_running]==0,max([FD_Fan_BLR_2_Steam],10),10)",0,fd_fan,FD_FAN_BLR_2,MT/ HR,1
FD_Fan_BLR_2_Steam_raw,raw_pi_input,,,,,fd_fan,FD_FAN_BLR_2,%,1
