,tag_name,formula_expression,Category
1750,Normalized_Boiler_E_Fg_Ethane_Concentration,100*([Boiler_Fg_Ethane_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1751,Normalized_Boiler_E_Fg_Ethylene_Concentration,([Boiler_Fg_Ethylene_Concentration]/[Boiler_E_Fuel_Composition_Total])*100,Normalized Variant
1752,Normalized_Boiler_E_Fg_Propane_Concentration,100*([Boiler_Fg_Propane_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1753,Normalized_Boiler_E_Fg_Ic4_Concentration,100*([Boiler_Fg_Ic4_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1754,Normalized_Boiler_E_Fg_Nc4_Concentration,100*([Boiler_Fg_Nc4_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1755,Normalized_Boiler_E_Fg_Nc5_Concentration,100*([Boiler_Fg_Nc5_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1756,Normalized_Boiler_E_Fg_Ic5_Concentration,100*([Boiler_Fg_Ic5_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1757,Normalized_Boiler_E_Fg_N2_Concentration,[Boiler_Fg_N2_Concentration]/[Boiler_E_Fuel_Composition_Total]*100,Normalized Variant
1758,Normalized_Boiler_E_Fg_Hydrogen_Concentration,100*([Boiler_Fg_Hydrogen_Concentration]/[Boiler_E_Fuel_Composition_Total]),Normalized Variant
1759,Boiler_E_Fg_Mw,([Normalized_Boiler_E_Fg_Ch4_Concentration]*[Component_Methane_Mw]+[Normalized_Boiler_E_Fg_Ethane_Concentration]*[Component_Ethane_Mw]+[Normalized_Boiler_E_Fg_Ethylene_Concentration]*[Component_Ethylene_Mw]+[Normalized_Boiler_E_Fg_Propane_Concentration]*[Component_Propane_Mw]+[Normalized_Boiler_E_Fg_Ic4_Concentration]*[Component_Butane_Mw]+[Normalized_Boiler_E_Fg_Nc5_Concentration]*[Component_Pentane_Mw]+[Normalized_Boiler_E_Fg_Hydrogen_Concentration]*[Component_Hydrogen_Mw]+[Normalized_Boiler_E_Fg_N2_Concentration]*[Component_Nitrogen_Mw]+[Normalized_Boiler_E_Fg_Nc4_Concentration]*[Component_Butane_Mw]+[Normalized_Boiler_E_Fg_Ic5_Concentration]*[Component_Pentane_Mw])/100,Component Properties (LHV/MW)
1760,Boiler_E_Fg_Ch4_Mass_Percentage,[Normalized_Boiler_E_Fg_Ch4_Concentration]*[Component_Methane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1761,Boiler_E_Fg_Ethane_Mass_Percentage,[Normalized_Boiler_E_Fg_Ethane_Concentration]*[Component_Ethane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1762,Boiler_E_Fg_Ethylene_Mass_Percentage,[Normalized_Boiler_E_Fg_Ethylene_Concentration]*[Component_Ethylene_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
1763,Boiler_E_Fg_Propane_Mass_Percentage,[Normalized_Boiler_E_Fg_Propane_Concentration]*[Component_Propane_Mw]/[Boiler_E_Fg_Mw],Boiler -- Combustion & Fuel
