short_name,network,plant,group,element_type,instance,pi_tag_base,status_tag,status_value,is_on,element_path
UTI HP-2 Backpressure TurbineK,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,K,UTIL.UTI.BAC-111,VHP_BFW_A_Motor_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineK
UTI HP-2 Backpressure TurbineL,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,L,UTIL.UTI.BAC-112,VHP_BFW_B_Turb_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineL
UTI HP-2 Backpressure TurbineM,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,M,UTIL.UTI.BAC-113,VHP_BFW_C_Turb_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineM
UTI HP-2 Backpressure TurbineN,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,N,UTIL.UTI.BAC-114,FDF_A_Motor_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineN
UTI HP-2 Backpressure TurbineO,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI HP-2 Backpressure Turbine,O,UTIL.UTI.BAC-115,FDF_B_Motor_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI HP-2 Backpressure TurbineO
UTI MP-2 Backpressure TurbineP,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI MP-2 Backpressure Turbine,P,UTIL.UTI.BAC-116,BFW_F_Motor_Status,0.0,False,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI MP-2 Backpressure TurbineP
UTI MP-2 Backpressure TurbineQ,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI MP-2 Backpressure Turbine,Q,UTIL.UTI.BAC-117,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI MP-2 Backpressure TurbineQ
UTI VHP Extraction-Condensing TurbineA,Steam Network,Utility Unit [UTI],Steam Generators & Turbines,UTI VHP Extraction-Condensing Turbine,A,UTIL.UTI.EXT-101,KT_1200_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Generators & Turbines > UTI VHP Extraction-Condensing TurbineA
UTI LP-1 Steam ExchangerA,Steam Network,Utility Unit [UTI],Steam Consumers,UTI LP-1 Steam Exchanger,A,UTIL.UTI.SHX-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Consumers > UTI LP-1 Steam ExchangerA
UTI VHP Letdown Station (PRDS)A,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI VHP Letdown Station (PRDS),A,UTIL.UTI.LET-101,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI VHP Letdown Station (PRDS)A
UTI VHP Letdown Station (PRDS)B,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI VHP Letdown Station (PRDS),B,UTIL.UTI.LET-102,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI VHP Letdown Station (PRDS)B
UTI HP-2 Letdown Station (PRDS)C,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI HP-2 Letdown Station (PRDS),C,UTIL.UTI.LET-103,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI HP-2 Letdown Station (PRDS)C
UTI MP-2 Letdown Station (PRDS)D,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI MP-2 Letdown Station (PRDS),D,UTIL.UTI.LET-104,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI MP-2 Letdown Station (PRDS)D
UTI MP-2 Letdown Station (PRDS)E,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI MP-2 Letdown Station (PRDS),E,UTIL.UTI.LET-105,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI MP-2 Letdown Station (PRDS)E
UTI MP-2 Letdown Station (PRDS)F,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI MP-2 Letdown Station (PRDS),F,UTIL.UTI.LET-106,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI MP-2 Letdown Station (PRDS)F
UTI MP-2 Letdown Station (PRDS)G,Steam Network,Utility Unit [UTI],Steam Distribution (Headers/PRDS),UTI MP-2 Letdown Station (PRDS),G,UTIL.UTI.LET-107,UO_Plant_Status,1.0,True,United > Steam Network > Utility Unit [UTI] > Steam Distribution (Headers/PRDS) > UTI MP-2 Letdown Station (PRDS)G
